,Unnamed: 0,index,id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres,is_valid_lyrics,valence_norm,lyric_sentiment,alignment_gap
0,0,32,1XGmzt0PVuFgQYYnV2It7A,Payphone,Overexposed Track By Track,"[""Maroon 5"", ""Wiz Khalifa""]",0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,231173,"i'm at a payphone trying to call home all of my change i spent on you where have the times gone? baby, it's all wrong where are the plans we made for two? yeah, i, i know it's hard to remember the people we used to be it's even harder to picture that you're not here next to me you say it's too late to make it but is it too late to try? and in our time that you wasted all of our bridges burned down i've wasted my nights you turned out the lights now i'm paralyzed still stuck in that time, when we called it love but even the sun sets in paradise i'm at a payphone, trying to call home all of my change i spent on you where have the times gone? baby, it's all wrong where are the plans we made for two? if ""happy ever after"" did exist i would still be holding you like this all those fairy tales are full of shit one more fucking love song, i'll be sick, oh you turned your back on tomorrow 'cause you forgot yesterday i gave you my love to borrow but you just gave it away you can't expect me to be fine i don't expect you to care i know i've said it before but all of our bridges burned down i've wasted my nights you turned out the lights now i'm paralyzed still stuck in that time when we called it love but even the sun sets in paradise i'm at a payphone trying to call home all of my change i spent on you where have the times gone? baby, it's all wrong where are the plans we made for two? if ""happy ever after"" did exist i would still be holding you like this and all those fairy tales are full of shit one more fucking love song, i'll be sick now i'm at a payphone man, fuck that shit i'll be out spending all this money while you sitting round wondering why wasn't you who came up from nothing made it from the bottom, now when you see me i'm strutting and all of my cars start with a push of a button telling me the chances i blew up or whatever you call it switched the number to my phone so you never could call it don't need my name on my show you can tell it i'm ballin' swish, what a shame could have got picked had a really good game but you missed your last shot so you talk about who you see at the top or what you could have saw, but sad to say it's over for phantom pulled valet open doors wiz like go away got what you was looking for now it's me who they want, so you can go and take that little piece of shit with you i'm at a payphone, trying to call home all of my change i spent on you where have the times gone? baby, it's all wrong where are the plans we made for two? if ""happy ever after"" did exist i would still be holding you like this all those fairy tales are full of shit one more fucking love song, i'll be sick now i'm at a payphone",2012,Pop,87,58475855,85.5,"[""04gDigrS5kc9YWfZHwBETP"", ""137W8MRPWKqSmrBGDBFSop""]","[""pop"", ""rap""]",True,0.09,0.9308,0.8407999999999999
1,1,37,6VObnIkLVruX4UVyxWhlqm,Skyfall,Skyfall,"[""Adele""]",0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480,"🎶 this is the end hold your breath and count to ten feel the earth move and then hear my heart burst again for this is the end i've drowned and dreamt this moment so overdue, i owe them swept away, i'm stolen let the sky fall when it crumbles we will stand tall face it all together let the sky fall when it crumbles we will stand tall face it all together at skyfall at skyfall skyfall is where we start a thousand miles and poles apart where worlds collide and days are dark you may have my number, you can take my name but you'll never have my heart let the sky fall (let the sky fall) when it crumbles (when it crumbles) we will stand tall (we will stand tall) face it all together let the sky fall (let the sky fall) when it crumbles (when it crumbles) we will stand tall (we will stand tall) face it all together at skyfall (let the sky fall) (when it crumbles) (we will stand tall) (let the sky fall) (when it crumbles) (we will stand tall) where you go, i go what you see, i see i know i'd never be me without the security of your loving arms keeping me from harm put your hand in my hand and we'll stand let the sky fall (let the sky fall) when it crumbles (when it crumbles) we will stand tall (we will stand tall) face it all together let the sky fall (let the sky fall) when it crumbles (when it crumbles) we will stand tall (we will stand tall) face it all together at skyfall let the sky fall we will stand tall at skyfall ooh",2012,Pop,87,67751201,85.0,"[""4dpARuHxo51G3z768sgnrY""]","[""soft pop""]",True,-0.8422000000000001,0.2833,1.1255000000000002
2,2,110,0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),"[""David Guetta"", ""Sia""]",0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,"you shout it out, but i can't hear a word you say talking loud, not saying much criticize, but all your bullets ricochet shoot me down, but i get up i'm bulletproof, nothing to lose fire away, fire away ricochet, you take your aim fire away, fire away you shoot me down, but i won't fall i am titanium you shoot me down, but i won't fall i am titanium cut me down, but it's you who'll have further to fall ghost town, haunted love raise your voice, sticks and stones may break my bones talking loud, not saying much i'm bulletproof, nothing to lose fire away, fire away ricochet, you take your aim fire away, fire away you shoot me down, but i won't fall i am titanium you shoot me down, but i won't fall i am titanium i am titanium i am titanium stone heart, machine gun firing at the ones who run stone heart loves bulletproof glass you shoot me down, but i won't fall i am titanium you shoot me down, but i won't fall i am titanium you shoot me down, but i won't fall i am titanium you shoot me down, but i won't fall i am titanium i am titanium",2012,Electronic,84,58154070,88.5,"[""1Cs0zKBU1kc0i8ypK3B9ai"", ""5WUlDfRSoLAfcVSX1WnrxN""]","[""edm""]",True,-0.398,-0.9696,-0.5716
3,3,114,6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),Swimming Pools (Drank),"[""Kendrick Lamar""]",0.6930000000000001,0.445,8,-5.892,1,0.257,0.00625,0.000234,0.0899,0.199,74.044,247800,"pour up (drank) head shot (drank) sit down (drank) stand up (drank) pass out (drank) wake up (drank) faded (drank) faded (drank) now i done grew up 'round some people livin' their life in bottles granddaddy had the golden flask, backstroke every day in chicago some people like the way it feels some people wanna kill their sorrows some people wanna fit in with the popular, that was my problem i was in a dark room, loud tunes lookin' to make a vow soon that i'ma get fucked up, fillin' up my cup, i see the crowd mood changin' by the minute and the record on repeat, took a sip, then another sip then somebody said to me nigga, why you babysittin' only two or three shots? i'ma show you how to turn it up a notch first you get a swimming pool full of liquor, then you dive in it pool full of liquor, then you dive in it i wave a few bottles, then i watch 'em all flock all the girls wanna play baywatch i got a swimming pool full of liquor and they dive in it pool full of liquor, i'ma dive in it pour up (drank) head shot (drank) sit down (drank) stand up (drank) pass out (drank) wake up (drank) faded (drank) faded (drank) okay, now open your mind up and listen me, kendrick i am your conscience, if you do not hear me then you will be history, kendrick i know that you're nauseous right now and i'm hopin' to lead you to victory, kendrick if i take another one down, i'ma drown in some poison, abusing my limit i think that i'm feelin' the vibe i see the love in her eyes i see the feeling the freedom is granted as soon as the damage of vodka arrived this how you capitalize, this is parental advice, then apparently i'm over-influenced by what you are doin' i thought i was doin' the most 'til someone said to me nigga, why you babysittin' only two or three shots? i'ma show you how to turn it up a notch first you get a swimming pool full of liquor, then you dive in it pool full of liquor, then you dive in it i wave a few bottles, then i watch 'em all flock all the girls wanna play baywatch i got a swimming pool full of liquor and they dive in it pool full of liquor, i'ma dive in it pour up (drank) head shot (drank) sit down (drank) stand up (drank) pass out (drank) wake up (drank) faded (drank) faded (drank) i ride, you ride, bang one chopper, one hundred shots, bang hop out, do you bang? two chopper, two hundred shots, bang i ride, you ride, bang one chopper, one hundred shots, bang hop out, do you, bang? two chopper, two hundred shots, bang nigga, why you babysittin' only two or three shots? i'ma show you how to turn it up a notch first you get a swimming pool full of liquor, then you dive in it pool full of liquor, then you dive in it i wave a few bottles, then i watch 'em all flock all the girls wanna play baywatch i got a swimming pool full of liquor and they dive in it pool full of liquor, i'ma dive in it pour up (drank) had shot (drank) sit down (drank) stand up (drank) pass out (drank) wake up (drank) faded (drank) faded (drank)",2012,Hip-Hop,84,45507428,91.0,"[""2YZyLoL8N0Wb9xBt1NhZWg""]","[""hip hop"", ""west coast hip hop""]",True,-0.602,-0.6072,-0.0051999999999999
4,4,132,2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,Don't You Worry Child,"[""Swedish House Mafia"", ""John Martin""]",0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,"there was a time i used to look into my father's eyes in a happy home i was a king, i had a gold throne those days are gone now the memories are on the wall i hear the sounds from the places where i was born upon the hill across the blue lake that's where i had my first heartbreak i still remember how it all changed my father said: ""don't you worry, don't you worry, child see heaven's got a plan for you don't you worry, don't you worry now"" (yeah!) ""don't you worry, don't you worry child see heaven's got a plan for you don't you worry, don't you worry now "" there was a time i met a girl of a different kind we ruled the world i thought i'd never lose her out of sight we were so young, i still think of her now and then i still hear the songs reminding me of a friend upon the hill across the blue lake that's where i had my first heartbreak i still remember how it all changed my father said ""don't you worry, don't you worry, don't you worry child see heaven's got a plan for you don't you worry, don't you worry now"" see heaven's got a plan for you don't you worry, don't you worry child see heaven's got a plan for you don't you worry, don't you worry now "" (yeah!) oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh yeah!",2012,Electronic,83,4096659,73.0,"[""1h6Cn3P4NGzXbaXidqURXs"", ""2auikkNYqigWStoHWK1Grq""]","[""edm""]",True,-0.124,0.9925,1.1165
5,5,134,1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,18 Months,"[""Calvin Harris""]",0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,"i feel so close to you right now, it's a force field i wear my heart upon my sleeve, like a big deal your love pours down on me, surrounds me like a waterfall and there's no stopping us right now i feel so close to you right now i feel so close to you right now, it's a force field i wear my heart upon my sleeve, like a big deal your love pours down on me, surrounds me like a waterfall and there's no stopping us right now i feel so close to you right now and there's no stopping us right now and there's no stopping us right now and there's no stopping us right now i feel so close to you right now",2012,Electronic,83,23171950,86.0,"[""7CajNmpbOovFoOoasH2HaY""]","[""edm""]",True,0.8380000000000001,0.9834,0.1453999999999999
6,6,146,6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,2,"[""Mac DeMarco""]",0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,190846,"oh, baby oh, man you're making me crazy really driving me mad that's all right with me it's really no fuss as long as you're next to me just the two of us you're my, my, my my kind of woman my, oh my what a girl you're my, my, my my kind of woman and i'm down on my hands and knees begging you please, baby show me your world oh, brother sweetheart i'm feeling so tired really falling apart and it just don't make sense to me i really don't know why you stick right next to me wherever i go you're my, my, my my kind of woman my, oh my what a girl you're my, my, my my kind of woman and i'm down on my hands and knees begging you please, baby show me your world",2012,Pop,83,8199298,81.0,"[""3Sz7ZnJQBIHsXLUSo0OQtM""]","[""indie"", ""lo-fi indie""]",True,-0.0799999999999999,-0.5933,-0.5133000000000001
7,7,194,6cpk00i5TxCqSeqNi2HuIe,One More Night,Overexposed Track By Track,"[""Maroon 5""]",0.716,0.8210000000000001,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.997,219547,"ooh, ooh ooh ooh, ooh, ooh, ooh, ooh you and i go hard at each other like we're going to war you and i go rough we keep throwing things and slamming the doors you and i get so damn dysfunctional we stop keeping score you and i get sick yeah, i know that we can't do this no more, yeah but baby, there you go again, there you go again making me love you yeah, i stopped using my head, using my head let it all go got you stuck on my body, on my body like a tattoo and now i'm feeling stupid, feeling stupid crawling back to you so i cross my heart, and i hope to die that i'll only stay with you one more night and i know, i said it a million times but i'll only stay with you one more night try to tell you, ""no"" but my body keeps on telling you, ""yes"" try to tell you, ""stop"" but your lipstick got me so out of breath i'll be waking up in the morning probably hating myself and i'll be waking up feeling satisfied, but guilty as hell, yeah but baby there you go again, there you go again making me love you (making me you love you) yeah, i stopped using my head, using my head let it all go (let it all go) got you stuck on my body, on my body like a tattoo (like a tattoo, yeah) and now i'm feeling stupid, feeling stupid crawling back to you (ah) so i cross my heart, and i hope to die (yeah) that i'll only stay with you one more night (oh-oh-oh) and i know, i've said it a million times (yeah) but i'll only stay with you one more night (yeah) ooh, ooh ooh ooh, ooh, ooh, ooh, ooh yeah, baby, give me one more night ooh, ooh ooh ooh, ooh, ooh, ooh, ooh yeah, baby, give me one more night ooh, ooh ooh ooh, ooh, ooh, ooh, ooh oh, yeah yeah, baby, give me one more night ooh, ooh ooh ooh, ooh, ooh, ooh, ooh oh, yeah-yeah-yeah but baby there you go again, there you go again making me love you yeah, i stopped using my head, using my head, let it all go got you stuck on my body, on my body like a tattoo, yeah-yeah-yeah, yeah so i cross my heart, and i hope to die (oh-oh, oh-oh) that i'll only stay with you one more night (oh, oh-oh oh) and i know i've said it a million times (oh, i've said it a million times) but i'll only stay with you one more night (yeah, baby, give me one more night) so i cross my heart and i hope to die (yeah, yeah) that i'll only stay with you one more night (yeah, yeah) and i know, i've said it a million times (yeah, yeah) but i'll only stay with you one more night (yeah, yeah) (i don't know, whatever)",2012,Pop,82,46281947,88.0,"[""04gDigrS5kc9YWfZHwBETP""]","[""pop""]",True,0.236,0.9972,0.7612
8,8,265,7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,LIVING THINGS,"[""Linkin Park""]",0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253,"the cycle repeated as explosions broke in the sky all that i needed was the one thing i couldn't find and you were there at the turn waiting to let me know we're building it up to break it back down we're building it up to burn it down we can't wait to burn it to the ground the colors conflicted as the flames, climbed into the clouds i wanted to fix this but couldn't stop from tearing it down and you were there at the turn caught in the burning glow and i was there at the turn waiting to let you know we're building it up to break it back down we're building it up to burn it down we can't wait to burn it to the ground you told me yes you held me high and i believed when you told that lie i played soldier, you played king and struck me down, when i kissed that ring you lost that right, to hold that crown i built you up, but you let me down so when you fall, i'll take my turn and fan the flames as your blazes burn and you were there at the turn waiting to let me know we're building it up to break it back down we're building it up to burn it down we can't wait to burn it to the ground when you fall, i'll take my turn and fan the flames as your blazes burn we can't wait to burn it to the ground when you fall, i'll take my turn and fan the flames as your blazes burn we can't wait to burn it to the ground",2012,Rock,81,32504225,90.0,"[""6XyY86QOPPrYVGvF9ch6wz""]","[""alternative metal"", ""nu metal"", ""rap metal"", ""rock""]",True,0.1699999999999999,0.9515,0.7815000000000001
9,9,288,2ihCaVdNZmnHZWt0fvAM7B,Little Talks,My Head Is An Animal,"[""Of Monsters and Men""]",0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,"hey! hey!! hey! i don't like walking around this old and empty house so hold my hand, i'll walk with you my dear the stairs creak as you sleep, it's keeping me awake it's the house telling you to close your eyes and some days i can't even dress myself it's killing me to see you this way 'cause though the truth may vary, this ship will carry our bodies safe to shore hey! hey!! hey! there's an old voice in my head that's holding me back well, tell her that i miss our little talks soon it will be over and buried with our past we used to play outside when we were young and full of life and full of love some days i don't know if i am wrong or right your mind is playing tricks on you my dear 'cause though the truth may vary, this ship will carry our bodies safe to shore (hey!) don't listen to a word i say (hey!) the screams all sound the same (hey!) though the truth may vary, this ship will carry our bodies safe to shore hey! hey!! you're gone, gone, gone away, i watched you disappear all that's left is a ghost of you now we're torn, torn, torn apart, there's nothing we can do just let me go, we'll meet again soon now wait, wait, wait for me, please hang around i'll see you when i fall asleep (hey!) don't listen to a word i say (hey!) the screams all sound the same (hey!) though the truth may vary, this ship will carry our bodies safe to shore don't listen to a word i say (hey!) the screams all sound the same (hey!) though the truth may vary, this ship will carry our bodies safe to shore though the truth may vary, this ship will carry our bodies safe to shore though the truth may vary, this ship will carry our bodies safe to shore",2012,Folk,81,3633866,71.0,"[""4dwdTW1Lfiq0cM8nBAqIIz""]","[""folk pop""]",True,-0.166,0.9813,1.1473
