index,id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres,is_valid_lyrics
52,4EWCNWgDS8707fNSZ1oaA5,Heartless,808s & Heartbreak,"[""Kanye West""]",0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,"[ve:v1.2.3] [00:23.37]never need a bitch [00:24.44] i'm what a bitch need (bitch need) [00:26.04]tryna find the one that can fix me [00:29.27]i've been dodging death in the six-speed [00:31.66]amphetamine got my stummy feelin' sickly [00:35.66]yeah [00:36.19] i want it all now [00:37.25]i've been runnin' through the pussy, need a dog pound [00:40.17]hundred models gettin' faded in the compound [00:42.83]tryna love me but they never get a pulse down [00:46.82]'cause i'm heartless [00:48.42]and i'm back to my ways 'cause i'm heartless [00:51.33]all this money and this pain got me heartless [00:54.26]low life for life 'cause i'm heartless [00:58.79]said i'm heartless [00:59.84]tryna be a better man but i'm heartless [01:02.77]never be a wedding plan for the heartless [01:05.69]low life for life 'cause i'm heartless (heartless) [01:09.67]said i'm heartless [01:11.01]so much pussy, it be fallin' out the pocket [01:13.92]metro boomin turn this hoe into a moshpit [01:16.85]tesla pill got me flyin' like a cockpit [01:20.57]yeah, i gotta watch it [01:22.42]call me up, turn that pussy to a faucet [01:25.34]duffel bags full of drugs and a rocket [01:28.00]stix drunk but he never miss a target [01:32.00]photoshoots, i'm a star now (i'm a star) [01:33.59]i'm talking time, rolling stone and bazaar now (bazaar) [01:36.52]sellin' dreams to these girls with they guard down (what?) [01:39.17]seven years i been swimmin' with the sharks now [01:43.42]'cause i'm heartless [01:44.77]and i'm back to my ways 'cause i'm heartless [01:47.69]all this money and this pain got me heartless [01:50.64]low life for life 'cause i'm heartless [01:54.91]said i'm heartless [01:56.24]tryna be a better man but i'm heartless [01:58.89]never be a wedding plan for the heartless [02:01.84]low life for life 'cause i'm heartless [02:07.70]i lost my heart and my mind [02:13.29]i try to always do right [02:18.61]i thought i lost you this time [02:24.47]you just came back in my life [02:30.33]you never gave up on me (why don't you?) [02:35.64]i'll never know what you see (why won't you?) [02:41.49]i don't do well when alone (oh, yeah) [02:47.07]you hear it clear in my tone [02:51.86]'cause i'm heartless [02:52.92]and i'm back to my ways 'cause i'm heartless [02:55.58]all this money and this pain got me heartless [02:58.23]low life for life 'cause i'm heartless [03:02.75]said i'm heartless [03:04.08]tryna be a better man but i'm heartless [03:07.00]never be a wedding plan for the heartless [03:09.65]low life for life 'cause i'm heartless",2008,Hip-Hop,86,31538631,92.0,"[""5K4W6rqBFWDnAN6FQUkS6x""]","[""rap""]",True
77,49FYlytm3dAAraYgpoJZux,Umbrella,Good Girl Gone Bad: Reloaded,"[""Rihanna"", ""JAY-Z""]",0.585,0.8280000000000001,1,-4.603,1,0.124,0.00906,0.0,0.0426,0.584,174.034,275987,"uh-huh, uh-huh (yeah, rihanna) uh-huh, uh-huh (good girl, gone bad) uh-huh, uh-huh (take three, action) uh-huh, uh-huh (hov) no clouds in my stones let it rain, i hydroplane in the bank coming down with the dow jones when the clouds come, we gone, we roc-a-fella we fly higher than weather, in g5's or better you know me (you know me) in anticipation for precipitation, stack chips for the rainy day jay, rain man is back with little miss sunshine, rihanna, where you at? you have my heart and we'll never be worlds apart maybe in magazines but you'll still be my star baby, 'cause in the dark you can't see shiny cars and that's when you need me there with you, i'll always share because when the sun shine, we shine together told you i'll be here forever said i'll always be your friend took an oath, i'ma stick it out to the end now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh, eh, eh-eh these fancy things will never come in between you're part of my entity here for infinity when the war has took its part when the world has dealt its cards if the hand is hard together we'll mend your heart because when the sun shine, we shine together told you i'll be here forever said i'll always be your friend took an oath, i'ma stick it out to the end now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh, eh, eh-eh you can run into my arms it's okay, don't be alarmed come into me there's no distance in between our love so gonna let the rain pour i'll be all you need and more because when the sun shine, we shine together told you i'll be here forever said i'll always be your friend took an oath, i'ma stick it out to the end now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh under my umbrella, -ella, -ella, eh, eh, eh, eh, eh-eh it's raining, raining ooh baby, it's raining, raining baby, come into me, come into me it's raining, raining ooh baby, it's raining, raining you can always come into me, come into me it's pouring rain, it's pouring rain come into me, come into me it's pouring rain, it's pouring rain come into me, come into me",2008,Hip-Hop,85,80845947,89.0,"[""5pKCCKE2ajJHZ9KAiaK11H"", ""3nFkdlSjzX9mRTtwJOzDYB""]","[""east coast hip hop"", ""hip hop"", ""rap""]",True
85,1QV6tiMFM6fSOKOGLMHYYg,Poker Face,The Fame,"[""Lady Gaga""]",0.851,0.806,4,-4.618,1,0.0787,0.119,1.7199999999999998e-06,0.121,0.774,119.001,237200,"(mum-mum-mum-mah) (mum-mum-mum-mah) (mum-mum-mum-mah) (mum-mum-mum-mah) (mum-mum-mum-mah) i wanna hold 'em like they do in texas, please fold 'em, let 'em hit me, raise it, baby, stay with me (i love it) love game intuition, play the cards with spades to start and after he's been hooked, i'll play the one that's on his heart oh, whoa, oh, oh oh, oh-oh i'll get him hot, show him what i got oh, whoa, oh, oh oh, oh-oh i'll get him hot, show him what i got can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) i wanna roll with him, a hard pair we will be a little gamblin' is fun when you're with me (i love it) russian roulette is not the same without a gun and baby, when it's love, if it's not rough, it isn't fun (fun) oh, whoa, oh, oh oh, oh-oh i'll get him hot, show him what i got oh, whoa, oh, oh oh, oh-oh i'll get him hot, show him what i got can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) (mum-mum-mum-mah, mum-mum-mum-mah) i won't tell you that i love you, kiss or hug you 'cause i'm bluffin' with my muffin i'm not lyin', i'm just stunnin' with my love-glue-gunnin' just like a chick in the casino take your bank before i pay you out i promise this, promise this check this hand 'cause i'm marvelous can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) can't read my, can't read my no, he can't read my poker face (she's got me like nobody) p-p-p-poker face, p-p-poker face p-p-p-poker face, f-f-fuck her face (she's got me like nobody) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah) p-p-p-poker face, f-f-fuck her face (mum-mum-mum-mah)",2008,Pop,85,43484481,90.0,"[""1HY2Jd0NmPuamShAr6KMms""]","[""art pop"", ""pop""]",True
90,1dzQoRqT5ucxXVaAhTcT0J,Just Dance,The Fame,"[""Lady Gaga"", ""Colby O'Donis""]",0.8220000000000001,0.739,1,-4.541,0,0.0311,0.0264,4.28e-05,0.181,0.745,118.99,241933,"redone konvict gaga (oh-oh, eh) i've had a little bit too much, much all of the people start to rush (start to rush by) a dizzy twister dance can't find my drink or man where are my keys? i lost my phone, phone what's going on on the floor? i love this record, baby, but i can't see straight anymore keep it cool what's the name of this club? i can't remember, but it's alright, alright just dance gonna be okay da-da-doo-doot-n, just dance spin that record, babe da-da-doo-doot-n, just dance gonna be okay da-da-da-dance, dance, dance just j-j-just dance wish i could shut my playboy mouth (oh, oh, oh) how'd i turn my shirt inside out? (inside out, right) control your poison, babe roses have thorns, they say and we're all gettin' hosed tonight what's going on on the floor? i love this record, baby, but i can't see straight anymore keep it cool what's the name of this club? i can't remember, but it's alright, alright just dance gonna be okay da-da-doo-doot-n, just dance spin that record, babe da-da-doo-doot-n, just dance gonna be okay da-da-da-dance, dance, dance just j-j-just dance when i come through on the dance floor, checking out that catalogue can't believe my eyes so many women without a flaw and i ain't gonna give it up steady, tryna pick it up, like a call i'mma hit it, i'mma beat it and latch onto it until tomorrow, yeah shorty, i can see that you got so much energy the way you twirling up them hips 'round and 'round and there is no reason at all why you can't leave here with me in the meantime, stay and let me watch you break it down and dance gonna be okay da-da-doo-doot-n, just dance spin that record, babe da-da-doo-doot-n, just dance gonna be okay da-da-doo-doot-n, just dance spin that record, babe da-da-doo-doot-n, just dance gonna be okay da-da-da-dance, dance, dance just j-j-just dance (incredible... amazing... music) wooo! let's go! half psychotic, sick, hypnotic, got my blueprint, it's symphonic half psychotic, sick, hypnotic, got my blueprint, electronic half psychotic, sick, hypnotic, got my blueprint, it's symphonic half psychotic, sick, hypnotic, got my blueprint, electronic go! use your muscle, carve it out, work it, hustle (i got it, just stay close enough to get it on) don't slow! drive it, clean it, lysol, bleed it spend the last dough (i got it) in your pock-o (i got it) just dance gonna be okay da-da-doo-doot-n, just dance spin that record, babe da-da-doo-doot-n, just dance gonna be okay da-da-doo-doot-n, just dance spin that record, babe da-da-doo-doot-n, just dance gonna be okay da-da-da-dance, dance, dance just j-j-just dance",2008,Pop,84,43665881,80.5,"[""1HY2Jd0NmPuamShAr6KMms"", ""7fObcBw9VM3x7ntWKCYl0z""]","[""art pop"", ""pop""]",True
197,6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace","[""The Offspring""]",0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,177827,"show me how to lie you're getting better all the time and turning all against the one is an art that's hard to teach another clever word sets off an unsuspecting herd and as you step back into line a mob jumps to their feet now dance, fucker, dance man, he never had a chance and no one even knew it was really only you and now you steal away take him out today nice work you did you're gonna go far, kid with a thousand lies and a good disguise hit 'em right between the eyes hit 'em right between the eyes when you walk away nothing more to say see the lightning in your eyes see 'em running for their lives slowly out of line and drifting closer in your sights so play it out, i'm wide awake it's a scene about me there's something in your way and now someone is gonna pay and if you can't get what you want well it's all because of me now dance, fucker, dance man, i never had a chance and no one even knew it was really only you and now you'll lead the way show the light of day nice work you did you're gonna go far, kid (trust, deceived!) with a thousand lies and a good disguise hit 'em right between the eyes hit 'em right between the eyes when you walk away nothing more to say see the lightning in your eyes see 'em running for their lives now dance, fucker, dance he never had a chance and no one even knew it was really only you so dance, fucker, dance i never had a chance it was really only you with a thousand lies and a good disguise hit 'em right between the eyes hit 'em right between the eyes when you walk away nothing more to say see the lightning in your eyes see 'em running for their lives clever alibis lord of the flies hit 'em right between the eyes hit 'em right between the eyes when you walk away nothing more to say see the lightning in your eyes see 'em running for their lives",2008,Rock,82,6780727,78.0,"[""5LfGQac0EIXyAN8aUwmNAQ""]","[""punk"", ""skate punk""]",True
200,3NZJlJemX3mzjf56MqC5ML,Forever,Forever,"[""Chris Brown""]",0.672,0.8200000000000001,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573,"one, two, three, four hey, hey (forever) hey, hey (forever) it's you and me moving at the speed of light into eternity, yeah tonight is the night to join me in the middle of ecstasy feel the melody and the rhythm of the music around you, around you i'ma take you there, i'ma take you there so don't be scared, i'm right here, baby we can go anywhere, go anywhere but first, it's your chance, take my hand, come with me it's like i waited my whole life for this one night it's gon' be me, you, and the dance floor 'cause we only got one night double your pleasure, double your fun and dance forever, ever, ever forever, ever, ever forever, ever, ever forever (forever) ever, ever, ever forever, ever, ever forever, ever, ever (hey) forever on the dance floor feels like we're on another level, yeah feels like our love's intertwined we can be two rebels breaking the rules me and you, you and i all you gotta do is watch me (watch me) look what i can do with my feet (my feet) baby, feel the beat inside i'm driving, you can take the front seat (front seat) just need you to trust me (trust me) oh, ah, yeah, it's like i've... it's like i waited my whole life for this one night (one night) it's gon' be me, you, and the dance floor (dance floor) 'cause we only got one night double your pleasure, double your fun and dance forever, ever, ever forever, ever, ever (ever) forever, ever, ever (ever) forever (forever) ever, ever, ever (ever) forever, ever, ever (ever) forever, ever, ever (ever) forever on the dance floor it's a long way down, we so high off the ground sendin' for an angel to bring me your heart girl, where did you come from? got me so undone gaze in your eyes got me sayin' ""what a beautiful lady"", no ifs, ands, or maybes i'm releasin' my heart, and it's feelin' amazing there's no one else that matters, you love me and i won't let you fall, girl (fall, girl), let you fall, girl, oh oh, oh, yeah yeah, i won't let you fall, let you fall let you fall, oh, oh yeah, yeah yeah, yeah it's like, it's like i waited my whole life (whole life) for this one night (one night) it's gon' be me, you, and the dance floor (me, you, and the dance floor) 'cause we only got one night double your pleasure, double your fun and dance forever, ever, ever forever, ever, ever forever, ever, ever forever (forever) (forever) ever, ever, ever forever, ever, ever forever, ever, ever forever on the dance floor oh, oh, oh-oh-oh, oh, oh oh, oh, yeah forever, ever, ever, ever forever, ever, oh",2008,R&B,82,29087036,90.0,"[""7bXgB6jMjp9ATFy66eO08Z""]","[""r&b""]",True
221,3S0OXQeoh0w6AY8WQVckRW,I'm Yours,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),"[""Jason Mraz""]",0.7030000000000001,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242947,"well, you done, done me in, you bet i felt it i tried to be chill, but you're so hot that i melted i fell right through the cracks now i'm trying to get back before the cool done run out, i'll be givin' it my bestest and nothing's gonna stop me but divine intervention i reckon it's again my turn to win some or learn some but i won't hesitate, no more, no more it cannot wait, i'm yours hmm (hey, hey) well, open up your mind and see like me open up your plans and, damn, you're free look into your heart, and you'll find love, love, love, love listen to the music of the moment people dance and sing we're just one big family and it's our godforsaken right to be loved, loved, loved, loved, loved so i won't hesitate, no more, no more it cannot wait, i'm sure there's no need to complicate, our time is short this is our fate, i'm yours do you, do, do, do you but do you, do you, do, do but do you want to come on? scooch on over closer, dear and i will nibble your ear a-soon da-ba-ba-ba-ba-bum whoa, oh-oh-oh whoa, oh-oh-oh-oh, whoa-whoa-whoa uh-huh, hmm i've been spending way too long checking my tongue in the mirror and bending over backwards just to try to see it clearer but my breath fogged up the glass and so i drew a new face and i laughed i guess what i'll be saying is there ain't no better reason to rid yourself of vanities and just go with the seasons it's what we aim to do our name is our virtue but i won't hesitate, no more, no more it cannot wait, i'm yours well, open up your mind and see like me open up your plans and, damn, you're free look into your heart, and you'll find that the sky is yours so please don't, please don't, please don't there's no need to complicate 'cause our time is short this, oh, this, oh, this is our fate i'm yours brr-ba-mmm, da-ba-mmm-day t-du, du, t-du, du, t-du, du, du, du, du-du-du hmm-mm, oh, i'm yours oh, i'm yours oh-oh-oh-oh, whoa-oh-oh-oh baby, do believe i'm yours you best believe, you best believe i'm yours, hmm",2008,Pop,82,7329749,73.0,"[""4phGZZrJZRo4ElhRtViYdl""]","[""acoustic pop"", ""soft pop""]",True
246,02XnQdf7sipaKBBHixz3Zp,Paparazzi,The Fame,"[""Lady Gaga""]",0.762,0.6920000000000001,5,-3.973,0,0.0437,0.112,0.0,0.094,0.397,114.903,208307,"we are the crowd we're c-coming out got my flash on, it's true need that picture of you it's so magical we'd be so fantastical leather and jeans garage glamorous not sure what it means but this photo of us it don't have a price ready for those flashing lights 'cause you know that, baby, i i'm your biggest fan i'll follow you until you love me papa-paparazzi baby, there's no other superstar you know that i'll be your papa-paparazzi promise i'll be kind but i won't stop until that boy is mine baby, you'll be famous chase you down until you love me papa-paparazzi i'll be your girl backstage at your show velvet ropes and guitars yeah, 'cause you're my rock star in between the sets eyeliner and cigarettes shadow is burnt yellow, dance and we turn my lashes are dry purple teardrops i cry it don't have a price loving you is cherry pie 'cause you know that, baby, i i'm your biggest fan i'll follow you until you love me papa-paparazzi baby, there's no other superstar you know that i'll be your papa-paparazzi promise i'll be kind but i won't stop until that boy is mine baby, you'll be famous chase you down until you love me papa-paparazzi real good, we dance in the studio snap, snap, to that shit on the radio don't stop for anyone we're plastic, but we still have fun i'm your biggest fan i'll follow you until you love me papa-paparazzi baby, there's no other superstar you know that i'll be your papa-paparazzi promise i'll be kind but i won't stop until that boy is mine baby, you'll be famous chase you down until you love me papa-paparazzi",2008,Pop,81,43484481,90.0,"[""1HY2Jd0NmPuamShAr6KMms""]","[""art pop"", ""pop""]",True
252,6etwirSInfuJrSOlogS6Sh,American Boy,Shine,"[""Estelle"", ""Kanye West""]",0.6930000000000001,0.729,0,-2.99,1,0.378,0.171,0.0,0.07,0.521,117.848,284733,"just another one champion sound yeah, estelle, we 'bout to get down (get down) who the hottest in the world right now just touched down in london town bet they give me a pound tell them put the money in my hand right now tell the promoter we need more seats we just sold out all the floor seats take me on a trip, i'd like to go someday take me to new york, i'd love to see l.a. i really want to come kick it with you you'll be my american boy he said ""hey, sister, it's really, really nice to meet you"" i just met this 5 foot 7 guy who's just my type i like the way he's speaking, his confidence is peaking don't like his baggy jeans but i'mma like what's underneath them and no i ain't been to m.i.a i heard that cali never rains and new york's heart awaits first let's see the west end, i'll show you to my brethren i'm liking this american boy, american boy take me on a trip, i'd like to go someday take me to new york, i'd love to see l.a. i really want to come kick it with you you'll be my american boy, american boy would you be my american boy, american boy can we get away this weekend? take me to broadway let's go shopping, baby, then we'll go to a café let's go on the subway, take me to your hood i never been to brooklyn and i'd like to see what's good dress in all your fancy clothes sneakers looking fresh to death, i'm loving those shell toes walking that walk, talk that slick talk i'm liking this american boy, american boy take me on a trip, i'd like to go someday take me to new york, i'd love to see l.a. i really want to come kick it with you you'll be my american boy tell 'em kno wagwan blud who killing 'em in the u.k. everybody gonna say, ""you, k"" reluctantly 'cause most of this press don't fuck with me estelle once said to me, ""cool down, down don't act a fool now, now"" i always act a fool, oww, oww, ain't nothing new now, now he crazy, i know what ya thinking ribena i know what you're drinking rap singer, chain blinger holla at the next chick soon as you're blinking what's your persona? about this americana brama am i shallow 'cause all my clothes designer dressed smart like a london bloke before he speak his suit bespoke and you thought he was cute before look at this peacoat, tell me he's broke and i know you ain't into all that i heard your lyrics, i feel your spirit but i still talk that ca-ah-ash 'cause a lot wags wanna hear it and i'm feeling like mike at his baddest like the pips at they gladys and i know they love it so to hell with all that rubbish would you be my love, my love? (would you be mine?) would you be my love, my love? (would you be mine?) could you be my love, my love? ooh, would you be my american boy? american boy take me on a trip, i'd like to go someday take me to chicago, san francisco bay i really want to come kick it with you you'll be my american boy, american boy take me on a trip, i'd like to go someday take me to new york, i'd love to see l.a. i really want to come kick it with you you'll be my american boy, american boy",2008,Hip-Hop,81,31943916,79.5,"[""5T0MSzX9RC5NA6gAI6irSn"", ""5K4W6rqBFWDnAN6FQUkS6x""]","[""rap""]",True
303,3RAFcUBrCNaboRXoP3S5t1,Psychosocial,All Hope Is Gone (10th Anniversary),"[""Slipknot""]",0.5680000000000001,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,"ooh, yeah! i did my time, and i want out so effusive fade, it doesn't cut the soul is not so vibrant the reckoning, the sickening packaging subversion pseudo-sacrosanct perversion go drill your deserts go dig your graves then fill your mouth with all the money you will save sinking in, getting smaller again i'm done, it has begun i'm not the only one and the rain will kill us all throw ourselves against the wall but no one else can see the preservation of the martyr in me psychosocial! psychosocial! psychosocial! psychosocial! psychosocial! psychosocial! oh, there are cracks in the road we laid but where the temple fell the secrets have gone mad this is nothing new but when we killed it all the hate was all we had who needs another mess? we could start over just look me in the eyes and say i'm wrong now there's only emptiness venomous, insipid i think we're done i'm not the only one and the rain will kill us all throw ourselves against the wall but no one else can see the preservation of the martyr in me psychosocial! psychosocial! psychosocial! psychosocial! psychosocial! psychosocial! the limits of the dead! the limits of the dead! the limits of the dead! the limits of the dead! fake anti-fascist lie (psychosocial!) i tried to tell you, but (psychosocial!) your purple hearts are giving out (psychosocial!) can't stop a killing idea (psychosocial!) if it's hunting season (psychosocial!) is this what you want? (psychosocial!) i'm not the only one! and the rain will kill us all we throw ourselves against the wall but no one else can see the preservation of the martyr in me and the rain will kill us all we throw ourselves against the wall but no one else can see the preservation of the martyr in me the limits of the dead! the limits of the dead!",2008,Rock,80,14387254,80.0,"[""05fG473iIaoy82BF1aGhL8""]","[""alternative metal"", ""heavy metal"", ""metal"", ""nu metal"", ""rap metal""]",True
